Fri Mar 22 18:42:29 2013    profile.txt.2.3.0

         51947050 function calls (45960478 primitive calls) in 278.010 CPU seconds

   Ordered by: cumulative time
   List reduced from 1171 to 117 due to restriction <0.10000000000000001>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 6091/885    0.360    0.000    1.440    0.002 /usr/lib64/python2.4/os.py:211(walk)
  366/226    0.030    0.000    1.430    0.006 /usr/lib/scons/SCons/Executor.py:453(scan)
     3054    0.030    0.000    1.420    0.000 /usr/lib/scons/SCons/Node/FS.py:2805(make_ready)
    28706    0.210    0.000    1.410    0.000 /usr/lib/scons/SCons/Node/FS.py:2914(get_csig)
        1    0.000    0.000    1.400    1.400 /work/Aic/SconsFortranSetup.py:1(?)
        2    0.000    0.000    1.400    0.700 /work/Aic/SconsFortranSetup.py:4(getFortLibPath)
7196/7194    0.160    0.000    1.300    0.000 /usr/lib/scons/SCons/Node/FS.py:1184(_lookup)
  366/226    0.000    0.000    1.270    0.006 /usr/lib/scons/SCons/Executor.py:448(scan_sources)
  366/226    0.000    0.000    1.240    0.005 /usr/lib/scons/SCons/Executor.py:527(get_implicit_deps)
        3    0.000    0.000    1.180    0.393 /usr/lib/scons/SCons/Action.py:916(get_implicit_deps)
        3    0.010    0.003    1.180    0.393 /usr/lib/scons/SCons/Action.py:832(get_implicit_deps)
       12    0.000    0.000    1.160    0.097 /usr/lib/scons/SCons/Node/FS.py:1747(get_text_contents)
  1668/12    0.000    0.000    1.160    0.097 /usr/lib/scons/SCons/Node/FS.py:1760(get_csig)
  1680/12    0.150    0.000    1.160    0.097 /usr/lib/scons/SCons/Node/FS.py:1752(get_contents)
   1106/5    0.000    0.000    1.160    0.232 /usr/lib/scons/SCons/Subst.py:704(substitute)
        5    0.000    0.000    1.160    0.232 /usr/lib/scons/SCons/Environment.py:527(subst_list)
   1119/5    0.020    0.000    1.160    0.232 /usr/lib/scons/SCons/Subst.py:621(expand)
        5    0.000    0.000    1.160    0.232 /usr/lib/scons/SCons/Subst.py:577(scons_subst_list)
11378/7058    0.210    0.000    1.060    0.000 /usr/lib/scons/SCons/Node/FS.py:2174(_lookup_abs)
        1    0.000    0.000    1.030    1.030 /work/Aic/src/apps/SConscript.py:1(?)
     7950    0.110    0.000    0.940    0.000 /usr/lib/scons/SCons/Node/FS.py:2888(get_max_drift_csig)
        4    0.000    0.000    0.930    0.233 /usr/lib/scons/SCons/Tool/jar.py:78(jarFlags)
     2061    0.040    0.000    0.920    0.000 /usr/lib/scons/SCons/Node/__init__.py:378(built)
        1    0.000    0.000    0.880    0.880 /usr/lib/scons/SCons/Script/Main.py:1242(jobs_postfunc)
        1    0.000    0.000    0.880    0.880 /usr/lib/scons/SCons/SConsign.py:99(write)
     3840    0.000    0.000    0.870    0.000 /usr/lib/scons/SCons/Executor.py:410(__str__)
     3840    0.090    0.000    0.870    0.000 /usr/lib/scons/SCons/Executor.py:402(my_str)
      256    0.020    0.000    0.860    0.003 /usr/lib/scons/SCons/SConsign.py:235(write)
   432/90    0.020    0.000    0.810    0.009 /usr/lib/scons/SCons/Builder.py:716(src_builder_sources)
     4246    0.010    0.000    0.800    0.000 /usr/lib/scons/SCons/Node/FS.py:1329(File)
    19678    0.100    0.000    0.790    0.000 /usr/lib/scons/SCons/Node/FS.py:696(rexists)
     3940    0.000    0.000    0.710    0.000 /usr/lib/scons/SCons/Node/FS.py:1542(File)
     2061    0.030    0.000    0.710    0.000 /usr/lib/scons/SCons/Node/__init__.py:112(update)
       68    0.000    0.000    0.670    0.010 /usr/lib/scons/SCons/Environment.py:1372(Clone)
1480/1406    0.050    0.000    0.660    0.000 /usr/lib/scons/SCons/Util.py:441(semi_deepcopy_dict)
     9347    0.070    0.000    0.660    0.000 /usr/lib/scons/SCons/Util.py:1402(MD5signature)
    41518    0.130    0.000    0.640    0.000 /usr/lib/scons/SCons/Node/FS.py:2853(exists)
     3678    0.020    0.000    0.620    0.000 /usr/lib/scons/SCons/Action.py:895(genstring)
    23530    0.360    0.000    0.620    0.000 /usr/lib/scons/SCons/Node/FS.py:685(stat)
35994/23496    0.260    0.000    0.620    0.000 /usr/lib/scons/SCons/Util.py:463(semi_deepcopy)
     4067    0.010    0.000    0.600    0.000 /usr/lib/scons/SCons/Action.py:969(_generate)
     4067    0.040    0.000    0.590    0.000 /usr/lib/scons/SCons/Action.py:959(_generate_cache)
    40166    0.190    0.000    0.560    0.000 /usr/lib64/python2.4/posixpath.py:192(isdir)
     4702    0.080    0.000    0.550    0.000 /usr/lib/scons/SCons/Action.py:410(Action)
    12192    0.070    0.000    0.550    0.000 /usr/lib/scons/SCons/Node/FS.py:693(exists)
     1920    0.020    0.000    0.530    0.000 /usr/lib/scons/SCons/Node/FS.py:3000(is_up_to_date)
     4321    0.170    0.000    0.530    0.000 /usr/lib/scons/SCons/Node/FS.py:577(__init__)
     1358    0.020    0.000    0.520    0.000 /usr/lib/scons/SCons/Script/Main.py:166(prepare)
     1920    0.030    0.000    0.510    0.000 /usr/lib/scons/SCons/Node/__init__.py:1018(changed)
     1081    0.500    0.000    0.500    0.000 :0(findall)
     1358    0.080    0.000    0.500    0.000 /usr/lib/scons/SCons/Taskmaster.py:157(prepare)
        1    0.000    0.000    0.480    0.480 /work/Aic/src/INTERFACES/SConscript.py:1(?)
