0,39548
1,86032
2,119632
3,148700
4,178508
5,207616
6,235148
7,258436
8,291712
9,313484
10,359964
11,370676
12,387644
13,406316
14,419592
15,437216
16,455032
17,473636
18,480620
19,496580
20,513680
21,531480
22,543332
23,554780
24,570628
25,580612
26,596860
27,612648
28,628860
29,639480
30,648072
31,657576
32,672656
33,687828
34,698136
35,713012
36,727860
37,744804
38,752388
39,755628
40,767664
41,783296
42,791584
43,805660
44,822008
45,829260
46,843204
47,852620
48,866456
49,880324
50,889396
51,890176
52,901964
53,910960
54,924436
55,938300
56,946984
57,960468
58,971984
59,979280
60,993200
61,1007740
62,1010516
63,1017908
64,1032132
65,1032132
